zone_id,zone_name,month,xch4_wetland,xch4_nonwetland,delta_ch4
7,Forest-steppe,5,1864.8287013774152,1867.5394376786046,-2.7107363011893995
7,Forest-steppe,6,1863.924060695816,1866.909745657138,-2.985684961322022
7,Forest-steppe,7,1867.1608165594153,1867.1381338759852,0.0226826834300482
7,Forest-steppe,8,1874.403784050358,1875.8609446656253,-1.4571606152674121
7,Forest-steppe,9,1878.9425249254161,1881.189721626301,-2.2471967008848424
7,Forest-steppe,10,1881.4047164007984,1882.7382295673121,-1.3335131665137396
1,Tundra,5,1848.9862245819959,1849.01895036531,-0.03272578331416298
1,Tundra,6,1846.6063555469177,1850.0131341066801,-3.406778559762415
1,Tundra,7,1858.4966007709602,1858.893804269067,-0.3972034981068191
1,Tundra,8,1873.8867480836554,1873.2927526068931,0.5939954767623021
1,Tundra,9,1874.4684449201015,1874.6005575049212,-0.1321125848196516
1,Tundra,10,1902.8629705063242,1905.764837329753,-2.9018668234286906
2,Forest-tundra,5,1842.9900105709078,1839.9082587123958,3.081751858512007
2,Forest-tundra,6,1843.3438051399285,1839.8346231981195,3.509181941808947
2,Forest-tundra,7,1852.7401173713197,1848.061389141789,4.678728229530634
2,Forest-tundra,8,1866.8695326649479,1862.1670779863825,4.702454678565346
2,Forest-tundra,9,1872.366354005692,1869.652877398723,2.7134766069691523
2,Forest-tundra,10,1875.3037824560424,1881.6211492790721,-6.317366823029715
3,Northern taiga,5,1842.707653464973,1834.047520617623,8.660132847350042
3,Northern taiga,6,1844.6567084454834,1839.3482175857316,5.308490859751828
3,Northern taiga,7,1853.381317174896,1848.0224969962599,5.358820178636051
3,Northern taiga,8,1866.3985566725698,1858.0339044386587,8.364652233911102
3,Northern taiga,9,1872.9321041881826,1863.8333573455998,9.098746842582841
3,Northern taiga,10,1861.38391225969,1851.226809792071,10.157102467619097
4,Middle taiga,5,1842.6980836192588,1837.724508846238,4.9735747730208
4,Middle taiga,6,1851.3828674341983,1840.9184260332268,10.46444140097151
4,Middle taiga,7,1861.4156160923646,1850.6555201785793,10.760095913785335
4,Middle taiga,8,1867.2277603289217,1852.9972145342294,14.230545794692262
4,Middle taiga,9,1873.0271393804853,1860.037032741518,12.99010663896729
4,Middle taiga,10,1869.6484183571922,1856.7869408079289,12.861477549263327
5,Southern taiga,5,1852.5613611697593,1842.890062484968,9.671298684791282
5,Southern taiga,6,1853.5741904657916,1840.2936490419522,13.280541423839395
5,Southern taiga,7,1861.3639148241987,1846.4895733157573,14.874341508441375
5,Southern taiga,8,1864.8288561904985,1848.7154215905418,16.11343459995669
5,Southern taiga,9,1869.8928451494044,1854.7895992454794,15.103245903924972
5,Southern taiga,10,1871.8858501925176,1864.508125848571,7.377724343946738
6,Subtaiga,5,1857.6322433536454,1853.5548739948624,4.077369358783017
6,Subtaiga,6,1859.4895306711605,1848.365749655975,11.123781015185614
6,Subtaiga,7,1863.681244089576,1852.5737867850723,11.107457304503669
6,Subtaiga,8,1866.1919946220653,1857.977345963672,8.214648658393344
6,Subtaiga,9,1870.5790451755595,1863.6875990444992,6.89144613106032
6,Subtaiga,10,1876.7704052307897,1868.8954770579849,7.874928172804857
8,Steppe,5,1866.1511824126644,1876.186169312398,-10.034986899733667
8,Steppe,6,1871.2018643999909,1878.1409204910688,-6.939056091077873
8,Steppe,7,1876.675230805519,1881.6115135411987,-4.936282735679697
8,Steppe,8,1888.4626027867118,1888.5303904218463,-0.06778763513443664
8,Steppe,9,1890.7400174712213,1891.378884034238,-0.6388665630165633
8,Steppe,10,1890.5684114597068,1892.1415803123089,-1.5731688526020662
