station,lat,lon,year,month,xch4_station,xch4_forest,delta_ch4
Mukhrino,60.892,68.682,2019.0,5,1798.7959874449223,1801.0368423442633,-2.2408548993410022
Mukhrino,60.892,68.682,2019.0,7,1829.03536283154,1815.8051182162549,13.230244615285073
Mukhrino,60.892,68.682,2019.0,8,1846.45778105935,1822.3442051752256,24.11357588412443
Mukhrino,60.892,68.682,2020.0,7,1823.5131094880321,1823.4450095365314,0.06809995150069881
Mukhrino,60.892,68.682,2020.0,8,1855.009978111736,1820.5639737853412,34.446004326394814
Mukhrino,60.892,68.682,2020.0,9,1841.0118752590165,1828.3471287632008,12.664746495815734
Mukhrino,60.892,68.682,2020.0,10,1851.910790661071,1832.9986739155504,18.912116745520507
Mukhrino,60.892,68.682,2021.0,5,1877.201837112375,1833.5641753928492,43.637661719525795
Mukhrino,60.892,68.682,2021.0,6,1840.9386866019722,1828.3101845353883,12.628502066583906
Mukhrino,60.892,68.682,2021.0,7,1841.4269665249471,1834.6240232647626,6.80294326018452
Mukhrino,60.892,68.682,2021.0,8,1855.9110926954834,1840.7733416951803,15.13775100030307
Mukhrino,60.892,68.682,2021.0,9,1855.0980971596932,1861.3475062229786,-6.249409063285384
Mukhrino,60.892,68.682,2021.0,10,1862.55337368868,1838.5533420059353,24.000031682744748
Mukhrino,60.892,68.682,2022.0,5,1845.5428250841605,1825.7719512771407,19.770873807019825
Mukhrino,60.892,68.682,2022.0,6,1848.7636502703674,1836.091667424903,12.6719828454643
Mukhrino,60.892,68.682,2022.0,7,1854.6579393004013,1863.1059483758447,-8.448009075443451
Mukhrino,60.892,68.682,2022.0,9,1877.0099715604615,1859.4412400832703,17.56873147719125
Mukhrino,60.892,68.682,2022.0,10,1848.0435722019022,1866.1363770772605,-18.092804875358297
Mukhrino,60.892,68.682,2023.0,5,1877.6506375597153,1867.1979492223682,10.452688337347126
Mukhrino,60.892,68.682,2023.0,6,1870.2217470754179,1861.2618149773077,8.95993209811013
Mukhrino,60.892,68.682,2023.0,7,1871.3978080065187,1864.8321868564021,6.565621150116613
Mukhrino,60.892,68.682,2023.0,8,1887.5724411008528,1881.4494899534147,6.122951147438016
Mukhrino,60.892,68.682,2023.0,9,1882.805662214059,1875.4128697678684,7.392792446190697
Mukhrino,60.892,68.682,2024.0,5,1874.6020573827466,1864.810161252357,9.79189613038966
Mukhrino,60.892,68.682,2024.0,6,1861.1887193957414,1866.1444069497811,-4.955687554039741
Mukhrino,60.892,68.682,2024.0,7,1882.7182005761263,1877.6700555121006,5.048145064025675
Mukhrino,60.892,68.682,2024.0,8,1845.3292088279923,1865.8785263344737,-20.54931750648143
Mukhrino,60.892,68.682,2024.0,9,1899.0840796968641,1886.6991114071934,12.384968289670724
Mukhrino,60.892,68.682,2024.0,10,1865.2147082125748,1869.0678472421332,-3.853139029558406
Mukhrino,60.892,68.682,2025.0,5,1863.1629095083165,1862.1438978219605,1.0190116863559524
Mukhrino,60.892,68.682,2025.0,6,1852.4634959659552,1851.0873918371558,1.3761041287993976
Mukhrino,60.892,68.682,2025.0,7,1881.8299159823696,1883.5777716357672,-1.7478556533976644
Mukhrino,60.892,68.682,2025.0,8,1904.4528612248819,1890.8577005171494,13.595160707732475
Mukhrino,60.892,68.682,2025.0,9,1893.450954294432,1889.7280450401076,3.7229092543243496
Mukhrino,60.892,68.682,2025.0,10,1917.8415757402993,1923.5299337895494,-5.688358049250155
Bakchar,56.93,82.67,2019.0,5,1805.5292178904049,1804.685776436869,0.8434414535358883
Bakchar,56.93,82.67,2019.0,6,1801.3052356555027,1804.9829996586602,-3.677764003157563
Bakchar,56.93,82.67,2019.0,7,1818.2559565300078,1813.2509876239658,5.004968906041995
Bakchar,56.93,82.67,2019.0,8,1807.1180212434067,1805.6839508142423,1.4340704291644215
Bakchar,56.93,82.67,2019.0,9,1813.074807592097,1805.7014622210634,7.373345371033565
Bakchar,56.93,82.67,2019.0,10,1807.2126140827104,1803.4684656486959,3.7441484340145053
Bakchar,56.93,82.67,2020.0,5,1822.3083659499378,1813.9316606278144,8.376705322123371
Bakchar,56.93,82.67,2020.0,6,1814.3530562532162,1808.300303564077,6.052752689139197
Bakchar,56.93,82.67,2020.0,7,1837.0150636176363,1824.2432814395495,12.771782178086823
Bakchar,56.93,82.67,2020.0,8,1835.5164571770806,1824.4779786340005,11.038478543080146
Bakchar,56.93,82.67,2020.0,9,1832.2983221597171,1824.5403933001835,7.757928859533649
Bakchar,56.93,82.67,2021.0,5,1827.4184181185794,1827.2415418293033,0.1768762892761515
Bakchar,56.93,82.67,2021.0,6,1829.0813792401188,1820.5783930691796,8.502986170939266
Bakchar,56.93,82.67,2021.0,7,1854.1451273938708,1835.7042306781345,18.440896715736244
Bakchar,56.93,82.67,2021.0,8,1856.0040296476534,1849.002991354851,7.001038292802377
Bakchar,56.93,82.67,2021.0,9,1851.8938016927482,1848.0891801968169,3.8046214959313147
Bakchar,56.93,82.67,2021.0,10,1850.6896554955927,1849.4960899847158,1.1935655108768515
Bakchar,56.93,82.67,2022.0,5,1853.3151805007233,1846.3661303603722,6.949050140351119
Bakchar,56.93,82.67,2022.0,6,1838.8943395333752,1829.9835719641005,8.91076756927464
Bakchar,56.93,82.67,2022.0,7,1876.6333686468436,1860.1185752669708,16.5147933798728
Bakchar,56.93,82.67,2022.0,9,1876.056765190386,1872.6481367712329,3.4086284191530467
Bakchar,56.93,82.67,2022.0,10,1869.6996640355921,1864.9005135261132,4.799150509478977
Bakchar,56.93,82.67,2023.0,5,1861.23363189842,1865.549773123327,-4.316141224906914
Bakchar,56.93,82.67,2023.0,6,1867.3268484544717,1864.2656378160116,3.0612106384601248
Bakchar,56.93,82.67,2023.0,7,1858.4268093681596,1857.2297062346713,1.1971031334883264
Bakchar,56.93,82.67,2023.0,8,1893.4190877928324,1872.5202640549041,20.898823737928296
Bakchar,56.93,82.67,2023.0,9,1893.9531801068372,1888.068844726642,5.884335380195125
Bakchar,56.93,82.67,2023.0,10,1895.089388922233,1881.16473055274,13.924658369493045
Bakchar,56.93,82.67,2024.0,5,1870.236428318617,1869.2450854885492,0.9913428300678788
Bakchar,56.93,82.67,2024.0,6,1859.0995533859716,1865.445625344719,-6.346071958747416
Bakchar,56.93,82.67,2024.0,7,1911.8796299498354,1890.9596336372954,20.91999631253998
Bakchar,56.93,82.67,2024.0,8,1867.2333981714487,1873.3826058725058,-6.149207701057094
Bakchar,56.93,82.67,2024.0,9,1887.452885241231,1884.1141148338966,3.338770407334323
Bakchar,56.93,82.67,2024.0,10,1910.2582677585917,1908.4799621879754,1.7783055706163395
Bakchar,56.93,82.67,2025.0,5,1870.918850250497,1877.402867369403,-6.484017118906195
Bakchar,56.93,82.67,2025.0,6,1887.9985855597592,1878.9709336728508,9.027651886908416
Bakchar,56.93,82.67,2025.0,7,1896.248537577108,1881.4315760216457,14.816961555462285
Bakchar,56.93,82.67,2025.0,8,1872.9931730074625,1873.5780915002845,-0.5849184928219984
Bakchar,56.93,82.67,2025.0,9,1888.2715104132021,1897.2286286432175,-8.95711823001534
Bakchar,56.93,82.67,2025.0,10,1911.0497876298607,1907.7574828547497,3.292304775111006
ZOTTO,60.8,89.35,2019.0,6,1817.7901082893907,1811.3725391147855,6.417569174605205
ZOTTO,60.8,89.35,2019.0,7,1820.665263661247,1809.922721014984,10.742542646263018
ZOTTO,60.8,89.35,2019.0,8,1829.589491204935,1812.2040250900925,17.38546611484253
ZOTTO,60.8,89.35,2019.0,9,1807.1175097569333,1794.3139725574556,12.80353719947766
ZOTTO,60.8,89.35,2019.0,10,1830.05441712229,1815.126870303924,14.927546818365954
ZOTTO,60.8,89.35,2020.0,5,1827.4503482283442,1816.7430298945799,10.707318333764306
ZOTTO,60.8,89.35,2020.0,6,1811.363308485209,1810.780907597833,0.5824008873760249
ZOTTO,60.8,89.35,2020.0,7,1841.944776383735,1823.3958043072905,18.548972076444443
ZOTTO,60.8,89.35,2020.0,8,1841.8901411744596,1828.4480395049613,13.442101669498243
ZOTTO,60.8,89.35,2020.0,9,1844.6035262452308,1825.2724074339271,19.331118811303668
ZOTTO,60.8,89.35,2021.0,5,1834.6948214580523,1829.1629698478716,5.531851610180638
ZOTTO,60.8,89.35,2021.0,6,1855.6586962102238,1835.7611334442922,19.897562765931525
ZOTTO,60.8,89.35,2021.0,7,1864.6654256345416,1851.557820850561,13.107604783980605
ZOTTO,60.8,89.35,2021.0,8,1813.0675651618164,1835.5032805626295,-22.435715400813024
ZOTTO,60.8,89.35,2021.0,9,1864.2007294042498,1855.8990200655533,8.301709338696583
ZOTTO,60.8,89.35,2022.0,5,1830.569086606624,1831.1470999691849,-0.5780133625607959
ZOTTO,60.8,89.35,2022.0,6,1848.1210215540925,1841.1603251810864,6.960696373006158
ZOTTO,60.8,89.35,2022.0,7,1849.3438729182565,1829.4957953433275,19.848077574928993
ZOTTO,60.8,89.35,2022.0,9,1847.7039353448185,1844.0110821100568,3.692853234761742
ZOTTO,60.8,89.35,2022.0,10,1875.6128576523308,1866.348514358324,9.264343294006721
ZOTTO,60.8,89.35,2023.0,5,1861.4655278172072,1852.4284683768915,9.037059440315716
ZOTTO,60.8,89.35,2023.0,6,1864.04739126403,1848.2278973248795,15.819493939150561
ZOTTO,60.8,89.35,2023.0,7,1878.6414820447083,1866.7097193140814,11.931762730626815
ZOTTO,60.8,89.35,2023.0,8,1873.3660045035738,1861.0784324422204,12.28757206135333
ZOTTO,60.8,89.35,2023.0,9,1882.6834971031199,1870.2253867601778,12.458110342942064
ZOTTO,60.8,89.35,2023.0,10,1826.8280135776884,1851.9278961674122,-25.099882589723848
ZOTTO,60.8,89.35,2024.0,5,1873.6381835340833,1864.8668212867972,8.771362247286106
ZOTTO,60.8,89.35,2024.0,6,1879.8517102619023,1872.4388806060444,7.412829655857877
ZOTTO,60.8,89.35,2024.0,7,1893.301834966844,1875.2830692623502,18.018765704493717
ZOTTO,60.8,89.35,2024.0,8,1891.4298161748077,1867.5884071949254,23.841408979882317
ZOTTO,60.8,89.35,2024.0,9,1886.6450534146472,1890.4951147244085,-3.8500613097612586
ZOTTO,60.8,89.35,2025.0,5,1879.1522642403363,1861.5982781357166,17.553986104619753
ZOTTO,60.8,89.35,2025.0,6,1879.2615657156769,1871.7719500188614,7.489615696815463
ZOTTO,60.8,89.35,2025.0,7,1890.7640235254016,1879.4364605680792,11.32756295732247
ZOTTO,60.8,89.35,2025.0,8,1908.711294641232,1885.2070988154803,23.504195825751594
ZOTTO,60.8,89.35,2025.0,9,1877.4961980437588,1872.0103351343414,5.485862909417392
ZOTTO,60.8,89.35,2025.0,10,1895.938017232065,1923.2607089506353,-27.32269171857024
